Species,SVL,HTotal
Anolis_ahli,57.643,46.79
Anolis_aliniger,55.9,34.80
Anolis_allisoni,77.3,45.30
Anolis_allogus,54.75,44.25
Anolis_allogus_Eco,NA,NA
Anolis_alutaceus,35.333,27.08
Anolis_angusticeps,41.5,20.88
Anolis_angusticeps_Eco,NA,NA
Anolis_angusticeps2_Eco,NA,NA
Anolis_argenteolus,52.6,42.85
Anolis_argillaceus,40.5,23.00
Anolis_bahorucoensis,43.933,36.20
Anolis_baleatus,NA,NA
Anolis_barahonae,156.333,105.33
Anolis_bartschi,73.417,61.17
Anolis_bremeri,54.167,40.33
Anolis_brevirostris,47,35.00
Anolis_centralis,36.125,20.25
Anolis_chlorocyanus,68.667,43.89
Anolis_christophei,46.615,38.77
Anolis_coelestinus,71.667,47.67
Anolis_cooki,59.85949105,46.85
Anolis_cristatellus,63.8,53.77
Anolis_cuvieri,133.5,100.60
Anolis_cybotes,66.933,54.80
Anolis_distichus,51.267,38.33
Anolis_equestris,156,98.50
Anolis_evermanni,62.286,47.89
Anolis_garmani,107.9,78.80
Anolis_grahami,61.071,45.43
Anolis_guazuma,38.667,17.67
Anolis_gundlachi,65.114,57.65
Anolis_homolechis,56.8,41.70
Anolis_homolechis_Eco,NA,NA
Anolis_insolitus,41.8,23.40
Anolis_isolepis,39,19.50
Anolis_jubar,55.643,40.07
Anolis_krugi,48.6,38.88
Anolis_lineatopus,56.545,46.05
Anolis_longitibialis,69.8,61.00
Anolis_loysianus,40,24.75
Anolis_lucius,65.571,52.43
Anolis_luteogularis,183,112.00
Anolis_marcanoi,55.563,46.19
Anolis_mestrei,51.643,41.07
Anolis_noblei,165.5,107.00
Anolis_occultus,37.7,17.00
Anolis_olssoni,46.462,35.77
Anolis_opalinus,47.786,34.07
Anolis_ophiolepis,38,24.11
Anolis_paternus,47,26.00
Anolis_poncensis,43.875,31.19
Anolis_porcatus,70,41.45
Anolis_porcatus_Eco,NA,NA
Anolis_porcus,148.833,75.83
Anolis_pulchellus,43.567,32.53
Anolis_pumilus,35.5,19.93
Anolis_rejectus,33.857,23.71
Anolis_ricordi,NA,NA
Anolis_sagrei,49,36.20
Anolis_sagrei_Eco,NA,NA
Anolis_sagrei2_Eco,NA,NA
Anolis_semilineatus,41.8,34.50
Anolis_singularis,46,27.00
Anolis_smaragdinus,62.9,38.75
Anolis_strahmi,74.333,65.33
Anolis_stratulus,44.45,32.75
Anolis_valencienni,72.7,38.70
Anolis_vanidicus,37.75,25.63
Anolis_vermiculatus,119.25,90.13